timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1779417612463,4,TX - Usuarios Service,404,"Number of samples in transaction : 3, number of failing samples : 3",[TG1] SMOKE TEST - Verificacion Basica 1-1,,false,,1185,562,1,1,null,0,2,1
1779417612464,2,GET /presos,404,Not Found,[TG1] SMOKE TEST - Verificacion Basica 1-1,text,false,GET /presos debe retornar 200,395,186,1,1,http://192.168.100.2/api/presos,2,0,1
1779417612467,1,GET /presos/1,404,Not Found,[TG1] SMOKE TEST - Verificacion Basica 1-1,text,false,,395,188,1,1,http://192.168.100.2/api/presos/1,1,0,0
1779417612468,1,GET /guardias,404,Not Found,[TG1] SMOKE TEST - Verificacion Basica 1-1,text,false,GET /guardias debe retornar 200,395,188,1,1,http://192.168.100.2/api/guardias,1,0,0
1779417612470,3,TX - Visitas Service,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG1] SMOKE TEST - Verificacion Basica 1-1,,true,,3922,187,1,1,null,0,1,0
1779417612470,3,GET /api/visitas,200,OK,[TG1] SMOKE TEST - Verificacion Basica 1-1,text,true,,3922,187,1,1,http://192.168.100.2/api/visitas,3,0,0
1779417612474,105,TX - Incidentes Service,200,"Number of samples in transaction : 2, number of failing samples : 0",[TG1] SMOKE TEST - Verificacion Basica 1-1,,true,,13115,382,1,1,null,0,0,0
1779417612474,92,GET /incidentes,200,OK,[TG1] SMOKE TEST - Verificacion Basica 1-1,text,true,,11824,190,1,1,http://192.168.100.2/api/incidentes,92,0,0
1779417612566,13,GET /incidentes/1,200,OK,[TG1] SMOKE TEST - Verificacion Basica 1-1,text,true,,1291,192,1,1,http://192.168.100.2/api/incidentes/1,13,0,0
1779417612580,2,TX - Usuarios Service,404,"Number of samples in transaction : 3, number of failing samples : 3",[TG1] SMOKE TEST - Verificacion Basica 1-1,,false,,1185,562,1,1,null,0,1,0
1779417612580,1,GET /presos,404,Not Found,[TG1] SMOKE TEST - Verificacion Basica 1-1,text,false,GET /presos debe retornar 200,395,186,1,1,http://192.168.100.2/api/presos,1,0,0
1779417612581,1,GET /presos/1,404,Not Found,[TG1] SMOKE TEST - Verificacion Basica 1-1,text,false,,395,188,1,1,http://192.168.100.2/api/presos/1,1,0,0
1779417612582,0,GET /guardias,404,Not Found,[TG1] SMOKE TEST - Verificacion Basica 1-1,text,false,GET /guardias debe retornar 200,395,188,1,1,http://192.168.100.2/api/guardias,0,0,0
1779417612583,2,TX - Visitas Service,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG1] SMOKE TEST - Verificacion Basica 1-1,,true,,3922,187,1,1,null,0,0,0
1779417612583,2,GET /api/visitas,200,OK,[TG1] SMOKE TEST - Verificacion Basica 1-1,text,true,,3922,187,1,1,http://192.168.100.2/api/visitas,2,0,0
1779417612585,109,TX - Incidentes Service,200,"Number of samples in transaction : 2, number of failing samples : 0",[TG1] SMOKE TEST - Verificacion Basica 1-1,,true,,13115,382,1,1,null,0,2,0
1779417612586,100,GET /incidentes,200,OK,[TG1] SMOKE TEST - Verificacion Basica 1-1,text,true,,11824,190,1,1,http://192.168.100.2/api/incidentes,100,0,0
1779417612687,9,GET /incidentes/1,200,OK,[TG1] SMOKE TEST - Verificacion Basica 1-1,text,true,,1291,192,1,1,http://192.168.100.2/api/incidentes/1,9,0,0
1779417612696,1,TX - Usuarios Service,404,"Number of samples in transaction : 3, number of failing samples : 3",[TG1] SMOKE TEST - Verificacion Basica 1-1,,false,,1185,562,1,1,null,0,2,0
1779417612697,1,GET /presos,404,Not Found,[TG1] SMOKE TEST - Verificacion Basica 1-1,text,false,GET /presos debe retornar 200,395,186,1,1,http://192.168.100.2/api/presos,1,0,0
1779417612698,0,GET /presos/1,404,Not Found,[TG1] SMOKE TEST - Verificacion Basica 1-1,text,false,,395,188,1,1,http://192.168.100.2/api/presos/1,0,0,0
