anio,mes,periodo,total_visitas,total_incidentes
2023,1,2023-1,455,79
2023,2,2023-2,379,82
2023,3,2023-3,424,71
2023,4,2023-4,396,70
2023,5,2023-5,479,88
2023,6,2023-6,404,92
2023,7,2023-7,424,84
2023,8,2023-8,417,86
2023,9,2023-9,411,89
2023,10,2023-10,386,66
2023,11,2023-11,446,86
2023,12,2023-12,414,84
2024,1,2024-1,408,78
2024,2,2024-2,417,75
2024,3,2024-3,469,118
2024,4,2024-4,406,90
2024,5,2024-5,418,93
2024,6,2024-6,383,59
2024,7,2024-7,386,76
2024,8,2024-8,396,67
2024,9,2024-9,404,83
2024,10,2024-10,435,92
2024,11,2024-11,426,83
2024,12,2024-12,417,79
